date,state,cases,deaths
2020-03-20,New York,7113,68
2020-03-20,Texas,386,5
2020-03-21,Alabama,131,0
2020-03-21,Arizona,104,1
2020-03-21,California,1544,28
2020-03-21,Florida,764,11
2020-03-21,New York,10371,95
2020-03-21,Texas,547,5
2020-03-22,Alabama,157,0
2020-03-22,Arizona,153,2
2020-03-22,California,1851,35
2020-03-22,Florida,1000,13
2020-03-22,New York,15188,142
2020-03-22,Texas,639,7
2020-03-23,Alabama,196,0
2020-03-23,Arizona,234,2
2020-03-23,California,2240,39
2020-03-23,Florida,1222,18
2020-03-23,New York,20899,183
2020-03-23,Texas,728,7
2020-03-24,Alabama,242,0
2020-03-24,Arizona,326,6
2020-03-24,California,2644,52
2020-03-24,Florida,1467,20
2020-03-24,New York,25704,264
2020-03-24,Texas,857,11
2020-03-25,Alabama,386,1
2020-03-25,Arizona,402,6
2020-03-25,California,3183,68
2020-03-25,Florida,1971,23
2020-03-25,New York,33117,381
2020-03-25,Texas,1132,13
2020-03-26,Alabama,538,3
2020-03-26,Arizona,508,8
2020-03-26,California,4060,83
2020-03-26,Florida,2478,29
2020-03-26,New York,39058,502
2020-03-26,Texas,1542,21
2020-03-27,Alabama,639,4
2020-03-27,Arizona,665,15
2020-03-27,California,4915,104
2020-03-27,Florida,3198,46
2020-03-27,New York,44746,645
2020-03-27,Texas,1971,25
2020-03-28,Alabama,720,4
2020-03-28,Arizona,773,15
2020-03-28,California,5566,122
2020-03-28,Florida,4038,56
2020-03-28,New York,53517,935
2020-03-28,Texas,2381,30
2020-03-29,Alabama,830,5
2020-03-29,Arizona,930,18
2020-03-29,California,6321,132
2020-03-29,Florida,4943,60
2020-03-29,New York,59783,1180
2020-03-29,Texas,2722,35
2020-03-30,Alabama,947,11
2020-03-30,Arizona,1169,20
2020-03-30,California,7421,147
2020-03-30,Florida,5695,72
2020-03-30,New York,67504,1512
2020-03-30,Texas,3065,46
2020-03-31,Alabama,999,14
2020-03-31,Arizona,1298,24
2020-03-31,California,8583,184
2020-03-31,Florida,6742,85
2020-03-31,New York,76211,1929
2020-03-31,Texas,3588,57
2020-04-01,Alabama,1108,28
2020-04-01,Arizona,1413,29
2020-04-01,California,9857,212
2020-04-01,Florida,7769,100
2020-04-01,New York,84364,2415
2020-04-01,Texas,4402,65
2020-04-02,Alabama,1270,32
2020-04-02,Arizona,1600,35
2020-04-02,California,11190,247
2020-04-02,Florida,9000,144
2020-04-02,New York,93360,2963
2020-04-02,Texas,4952,80
2020-04-03,Alabama,1535,38
2020-04-03,Arizona,1769,41
2020-04-03,California,12569,282
2020-04-03,Florida,10260,169
2020-04-03,New York,103689,3716
2020-04-03,Texas,5773,98
2020-04-04,Alabama,1632,44
2020-04-04,Arizona,2019,53
2020-04-04,California,13796,323
2020-04-04,Florida,11537,194
2020-04-04,New York,115963,4535
2020-04-04,Texas,6566,124
2020-04-05,Alabama,1840,45
2020-04-05,Arizona,2269,64
2020-04-05,California,15202,351
2020-04-05,Florida,12342,220
2020-04-05,New York,124085,5335
2020-04-05,Texas,7117,136
2020-04-06,Alabama,2005,53
2020-04-06,Arizona,2466,67
2020-04-06,California,16361,386
2020-04-06,Florida,13621,253
2020-04-06,New York,133389,6149
2020-04-06,Texas,8150,159
2020-04-07,Alabama,2197,64
2020-04-07,Arizona,2577,77
2020-04-07,California,17540,447
2020-04-07,Florida,14739,295
2020-04-07,New York,141703,7185
2020-04-07,Texas,8968,177
2020-04-08,Alabama,2498,67
2020-04-08,Arizona,2726,80
2020-04-08,California,19043,506
2020-04-08,Florida,15690,322
2020-04-08,New York,151271,8138
2020-04-08,Texas,9897,195
2020-04-09,Alabama,2838,78
2020-04-09,Arizona,3018,89
2020-04-09,California,20191,548
2020-04-09,Florida,16819,370
2020-04-09,New York,162036,9166
2020-04-09,Texas,11372,228
2020-04-10,Alabama,3008,80
2020-04-10,Arizona,3112,97
2020-04-10,California,21366,594
2020-04-10,Florida,17960,418
2020-04-10,New York,172830,10162
2020-04-10,Texas,12291,249
2020-04-11,Alabama,3262,93
2020-04-11,Arizona,3393,112
2020-04-11,California,22421,632
2020-04-11,Florida,18978,445
2020-04-11,New York,182990,11159
2020-04-11,Texas,13208,265
2020-04-12,Alabama,3583,93
2020-04-12,Arizona,3539,117
2020-04-12,California,23323,676
2020-04-12,Florida,19855,460
2020-04-12,New York,191425,12116
2020-04-12,Texas,13776,288
2020-04-13,Alabama,3805,104
2020-04-13,Arizona,3702,122
2020-04-13,California,24334,725
2020-04-13,Florida,21011,498
2020-04-13,New York,197973,12998
2020-04-13,Texas,14487,320
2020-04-14,Alabama,3953,114
2020-04-14,Arizona,3806,131
2020-04-14,California,25758,778
2020-04-14,Florida,21620,570
2020-04-14,New York,205375,14001
2020-04-14,Texas,15303,365
2020-04-15,Alabama,4241,123
2020-04-15,Arizona,3962,142
2020-04-15,California,27107,885
2020-04-15,Florida,22526,613
2020-04-15,New York,217130,14937
2020-04-15,Texas,16106,395
2020-04-16,Alabama,4404,137
2020-04-16,Arizona,4234,152
2020-04-16,California,28142,971
2020-04-16,Florida,23332,667
2020-04-16,New York,225761,15669
2020-04-16,Texas,16928,428
2020-04-17,Alabama,4572,151
2020-04-17,Arizona,4507,174
2020-04-17,California,29398,1050
2020-04-17,Florida,24745,725
2020-04-17,New York,233293,16473
2020-04-17,Texas,18131,461
2020-04-18,Alabama,4723,147
2020-04-18,Arizona,4719,181
2020-04-18,California,30829,1146
2020-04-18,Florida,25484,747
2020-04-18,New York,240542,17141
2020-04-18,Texas,18927,487
2020-04-19,Alabama,4903,160
2020-04-19,Arizona,4929,188
2020-04-19,California,31544,1176
2020-04-19,Florida,26306,773
2020-04-19,New York,246741,17793
2020-04-19,Texas,19441,503
2020-04-20,Alabama,5078,164
2020-04-20,Arizona,5064,191
2020-04-20,California,33862,1223
2020-04-20,Florida,27050,822
2020-04-20,New York,251608,18412
2020-04-20,Texas,20035,523
2020-04-21,Alabama,5327,186
2020-04-21,Arizona,5251,213
2020-04-21,California,35844,1316
2020-04-21,Florida,27861,866
2020-04-21,New York,255932,19040
2020-04-21,Texas,20949,552
2020-04-22,Alabama,5610,201
2020-04-22,Arizona,5459,236
2020-04-22,California,37573,1425
2020-04-22,Florida,28301,926
2020-04-22,New York,261591,19647
2020-04-22,Texas,21769,571
2020-04-23,Alabama,5832,197
2020-04-23,Arizona,5769,257
2020-04-23,California,39534,1548
2020-04-23,Florida,29640,986
2020-04-23,New York,267932,20212
2020-04-23,Texas,22706,601
2020-04-24,Alabama,6026,209
2020-04-24,Arizona,6045,268
2020-04-24,California,41368,1619
2020-04-24,Florida,30525,1045
2020-04-24,New York,276218,20759
2020-04-24,Texas,23650,625
2020-04-25,Alabama,6213,213
2020-04-25,Arizona,6280,275
2020-04-25,California,42590,1692
2020-04-25,Florida,30831,1054
2020-04-25,New York,286901,21326
2020-04-25,Texas,24494,662
2020-04-26,Alabama,6421,219
2020-04-26,Arizona,6526,277
2020-04-26,California,43691,1716
2020-04-26,Florida,31520,1073
2020-04-26,New York,292914,21804
2020-04-26,Texas,25209,676
2020-04-27,Alabama,6539,228
2020-04-27,Arizona,6716,277
2020-04-27,California,45208,1800
2020-04-27,Florida,32130,1087
2020-04-27,New York,296991,22267
2020-04-27,Texas,25963,699
2020-04-28,Alabama,6750,242
2020-04-28,Arizona,6948,297
2020-04-28,California,46570,1884
2020-04-28,Florida,32838,1170
2020-04-28,New York,300276,22777
2020-04-28,Texas,26868,738
2020-04-29,Alabama,6925,262
2020-04-29,Arizona,7202,308
2020-04-29,California,48904,1961
2020-04-29,Florida,33185,1216
2020-04-29,New York,304994,23287
2020-04-29,Texas,27839,776
2020-04-30,Alabama,7068,272
2020-04-30,Arizona,7648,320
2020-04-30,California,50470,2057
2020-04-30,Florida,33683,1267
2020-04-30,New York,309696,23616
2020-04-30,Texas,29072,828
2020-05-01,Alabama,7294,289
2020-05-01,Arizona,7962,330
2020-05-01,California,52318,2147
2020-05-01,Florida,34720,1313
2020-05-01,New York,313575,23841
2020-05-01,Texas,30342,853
2020-05-02,Alabama,7611,288
2020-05-02,Arizona,8364,353
2020-05-02,California,53753,2213
2020-05-02,Florida,35455,1363
2020-05-02,New York,318134,24035
2020-05-02,Texas,31433,875
2020-05-03,Alabama,7888,290
2020-05-03,Arizona,8640,362
2020-05-03,California,55072,2235
2020-05-03,Florida,36070,1378
2020-05-03,New York,321833,24576
2020-05-03,Texas,32299,890
2020-05-04,Alabama,8112,298
2020-05-04,Arizona,8919,362
2020-05-04,California,56333,2297
2020-05-04,Florida,36889,1398
2020-05-04,New York,324357,24788
2020-05-04,Texas,33134,914
2020-05-05,Alabama,8437,315
2020-05-05,Arizona,9305,395
2020-05-05,California,58848,2386
2020-05-05,Florida,37431,1470
2020-05-05,New York,326659,25028
2020-05-05,Texas,34286,955
2020-05-06,Alabama,8691,343
2020-05-06,Arizona,9707,426
2020-05-06,California,60787,2478
2020-05-06,Florida,37994,1538
2020-05-06,New York,329405,25956
2020-05-06,Texas,35441,985
2020-05-07,Alabama,9046,369
2020-05-07,Arizona,9945,450
2020-05-07,California,62481,2561
2020-05-07,Florida,38820,1599
2020-05-07,New York,332931,26206
2020-05-07,Texas,36682,1016
2020-05-08,Alabama,9385,383
2020-05-08,Arizona,10526,517
2020-05-08,California,64616,2650
2020-05-08,Florida,39191,1668
2020-05-08,New York,335804,26358
2020-05-08,Texas,37943,1059
2020-05-09,Alabama,9668,390
2020-05-09,Arizona,10960,532
2020-05-09,California,66824,2732
2020-05-09,Florida,39993,1714
2020-05-09,New York,338519,26584
2020-05-09,Texas,38849,1086
2020-05-10,Alabama,9889,393
2020-05-10,Arizona,11119,536
2020-05-10,California,68051,2769
2020-05-10,Florida,40588,1720
2020-05-10,New York,340657,26798
2020-05-10,Texas,40037,1110
2020-05-11,Alabama,10164,403
2020-05-11,Arizona,11380,542
2020-05-11,California,69514,2820
2020-05-11,Florida,40974,1734
2020-05-11,New York,342267,27003
2020-05-11,Texas,40988,1137
2020-05-12,Alabama,10464,435
2020-05-12,Arizona,11736,562
2020-05-12,California,71150,2902
2020-05-12,Florida,41915,1778
2020-05-12,New York,343705,27282
2020-05-12,Texas,42348,1169
2020-05-13,Alabama,10700,450
2020-05-13,Arizona,12176,594
2020-05-13,California,73218,3014
2020-05-13,Florida,42394,1826
2020-05-13,New York,345828,27448
2020-05-13,Texas,43822,1205
2020-05-14,Alabama,11101,473
2020-05-14,Arizona,12674,624
2020-05-14,California,74947,3039
2020-05-14,Florida,43202,1874
2020-05-14,New York,348192,27617
2020-05-14,Texas,45169,1256
2020-05-15,Alabama,11373,483
2020-05-15,Arizona,13169,651
2020-05-15,California,77015,3192
2020-05-15,Florida,44130,1916
2020-05-15,New York,350951,27755
2020-05-15,Texas,46987,1300
2020-05-16,Alabama,11674,485
2020-05-16,Arizona,13631,679
2020-05-16,California,78933,3254
2020-05-16,Florida,44803,1963
2020-05-16,New York,353136,27953
2020-05-16,Texas,47866,1330
2020-05-17,Alabama,11771,488
2020-05-17,Arizona,13937,680
2020-05-17,California,80366,3290
2020-05-17,Florida,45580,1972
2020-05-17,New York,355037,28168
2020-05-17,Texas,48828,1356
2020-05-18,Alabama,12086,489
2020-05-18,Arizona,14170,686
2020-05-18,California,81943,3322
2020-05-18,Florida,46434,1996
2020-05-18,New York,356278,28302
2020-05-18,Texas,49788,1362
2020-05-19,Alabama,12376,504
2020-05-19,Arizona,14566,704
2020-05-19,California,83981,3422
2020-05-19,Florida,46936,2051
2020-05-19,New York,357757,28437
2020-05-19,Texas,51080,1405
2020-05-20,Alabama,13052,522
2020-05-20,Arizona,14897,747
2020-05-20,California,86125,3514
2020-05-20,Florida,47463,2095
2020-05-20,New York,359235,28540
2020-05-20,Texas,52369,1443
2020-05-21,Alabama,13414,529
2020-05-21,Arizona,15315,763
2020-05-21,California,88488,3624
2020-05-21,Florida,48667,2143
2020-05-21,New York,361313,28663
2020-05-21,Texas,53441,1480
2020-05-22,Alabama,13670,541
2020-05-22,Arizona,15608,775
2020-05-22,California,90801,3690
2020-05-22,Florida,49443,2189
2020-05-22,New York,362991,28802
2020-05-22,Texas,54369,1498
2020-05-23,Alabama,14149,549
2020-05-23,Arizona,16040,799
2020-05-23,California,92815,3768
2020-05-23,Florida,50119,2232
2020-05-23,New York,364745,28900
2020-05-23,Texas,55451,1522
2020-05-24,Alabama,14478,551
2020-05-24,Arizona,16339,800
2020-05-24,California,94743,3790
2020-05-24,Florida,50859,2236
2020-05-24,New York,366346,29046
2020-05-24,Texas,56050,1533
2020-05-25,Alabama,14986,566
2020-05-25,Arizona,16561,806
2020-05-25,California,97017,3808
2020-05-25,Florida,51738,2251
2020-05-25,New York,367625,29138
2020-05-25,Texas,56490,1536
2020-05-26,Alabama,15650,580
2020-05-26,Arizona,16783,807
2020-05-26,California,99924,3859
2020-05-26,Florida,52247,2258
2020-05-26,New York,368669,29241
2020-05-26,Texas,57573,1552
2020-05-27,Alabama,16032,583
2020-05-27,Arizona,17262,831
2020-05-27,California,101873,3961
2020-05-27,Florida,52626,2318
2020-05-27,New York,369801,29339
2020-05-27,Texas,59105,1598
2020-05-28,Alabama,16530,591
2020-05-28,Arizona,17763,857
2020-05-28,California,104071,4042
2020-05-28,Florida,53277,2363
2020-05-28,New York,371559,29438
2020-05-28,Texas,60820,1618
2020-05-29,Alabama,17031,610
2020-05-29,Arizona,18465,885
2020-05-29,California,107043,4144
2020-05-29,Florida,54489,2412
2020-05-29,New York,373108,29535
2020-05-29,Texas,62073,1645
2020-05-30,Alabama,17359,618
2020-05-30,Arizona,19255,903
2020-05-30,California,110100,4214
2020-05-30,Florida,55416,2446
2020-05-30,New York,374471,29612
2020-05-30,Texas,63396,1676
2020-05-31,Alabama,17952,630
2020-05-31,Arizona,19936,906
2020-05-31,California,113114,4242
2020-05-31,Florida,56155,2450
2020-05-31,New York,375575,29699
2020-05-31,Texas,64974,1683
2020-06-01,Alabama,18534,646
2020-06-01,Arizona,20123,918
2020-06-01,California,115643,4287
2020-06-01,Florida,56822,2459
2020-06-01,New York,376520,29766
2020-06-01,Texas,66081,1695
2020-06-02,Alabama,18771,653
2020-06-02,Arizona,21250,943
2020-06-02,California,118081,4360
2020-06-02,Florida,57439,2529
2020-06-02,New York,377881,29847
2020-06-02,Texas,67966,1732
2020-06-03,Alabama,18851,653
2020-06-03,Arizona,22245,983
2020-06-03,California,120407,4422
2020-06-03,Florida,58756,2565
2020-06-03,New York,378924,29918
2020-06-03,Texas,69546,1766
2020-06-04,Alabama,19072,653
2020-06-04,Arizona,22818,1000
2020-06-04,California,122917,4484
2020-06-04,Florida,60175,2606
2020-06-04,New York,379977,30011
2020-06-04,Texas,71330,1793
2020-06-05,Alabama,19387,676
2020-06-05,Arizona,24369,1016
2020-06-05,California,126510,4550
2020-06-05,Florida,61480,2659
2020-06-05,New York,381019,30066
2020-06-05,Texas,73323,1821
2020-06-06,Alabama,20043,689
2020-06-06,Arizona,25517,1046
2020-06-06,California,129147,4626
2020-06-06,Florida,62750,2687
2020-06-06,New York,382102,30123
2020-06-06,Texas,75077,1840
2020-06-07,Alabama,20500,692
2020-06-07,Arizona,26924,1048
2020-06-07,California,131997,4653
2020-06-07,Florida,63930,2699
2020-06-07,New York,382879,30183
2020-06-07,Texas,75948,1846
2020-06-08,Alabama,20925,718
2020-06-08,Arizona,27761,1052
2020-06-08,California,134287,4679
2020-06-08,Florida,64896,2711
2020-06-08,New York,383591,30239
2020-06-08,Texas,77326,1856
2020-06-09,Alabama,21422,729
2020-06-09,Arizona,28396,1074
2020-06-09,California,137245,4775
2020-06-09,Florida,65992,2764
2020-06-09,New York,384281,30309
2020-06-09,Texas,79271,1886
2020-06-10,Alabama,21989,744
2020-06-10,Arizona,29981,1100
2020-06-10,California,140139,4869
2020-06-10,Florida,67363,2800
2020-06-10,New York,384945,30376
2020-06-10,Texas,81771,1916
2020-06-11,Alabama,22845,755
2020-06-11,Arizona,31525,1130
2020-06-11,California,143709,4941
2020-06-11,Florida,69061,2847
2020-06-11,New York,385669,30431
2020-06-11,Texas,83772,1942
2020-06-12,Alabama,23710,769
2020-06-12,Arizona,33167,1157
2020-06-12,California,147285,4986
2020-06-12,Florida,70963,2876
2020-06-12,New York,386490,30511
2020-06-12,Texas,86031,1965
2020-06-13,Alabama,24601,773
2020-06-13,Arizona,34773,1190
2020-06-13,California,150434,5059
2020-06-13,Florida,73544,2924
2020-06-13,New York,387402,30565
2020-06-13,Texas,88120,1989
2020-06-14,Alabama,25615,773
2020-06-14,Arizona,35953,1194
2020-06-14,California,152953,5089
2020-06-14,Florida,75560,2930
2020-06-14,New York,388096,30605
2020-06-14,Texas,89542,1995
2020-06-15,Alabama,26272,774
2020-06-15,Arizona,37005,1204
2020-06-15,California,155662,5120
2020-06-15,Florida,77318,2937
2020-06-15,New York,388719,30645
2020-06-15,Texas,91726,2018
2020-06-16,Alabama,26912,785
2020-06-16,Arizona,39298,1228
2020-06-16,California,159131,5202
2020-06-16,Florida,80101,2992
2020-06-16,New York,389349,30683
2020-06-16,Texas,95973,2057
2020-06-17,Alabama,27312,790
2020-06-17,Arizona,41159,1252
2020-06-17,California,163381,5283
2020-06-17,Florida,82711,3017
2020-06-17,New York,389910,30722
2020-06-17,Texas,99466,2099
2020-06-18,Alabama,28206,810
2020-06-18,Arizona,43731,1287
2020-06-18,California,167135,5359
2020-06-18,Florida,85918,3060
2020-06-18,New York,390536,30767
2020-06-18,Texas,102677,2137
2020-06-19,Alabama,29002,822
2020-06-19,Arizona,46914,1322
2020-06-19,California,170843,5425
2020-06-19,Florida,89740,3103
2020-06-19,New York,391330,30816
2020-06-19,Texas,107322,2168
2020-06-20,Alabama,29549,838
2020-06-20,Arizona,50198,1347
2020-06-20,California,174854,5495
2020-06-20,Florida,93789,3143
2020-06-20,New York,392037,30839
2020-06-20,Texas,111594,2186
2020-06-21,Alabama,30021,839
2020-06-21,Arizona,52666,1350
2020-06-21,California,178807,5517
2020-06-21,Florida,97283,3160
2020-06-21,New York,392702,30884
2020-06-21,Texas,114886,2195
2020-06-22,Alabama,30454,841
2020-06-22,Arizona,54767,1354
2020-06-22,California,184620,5561
2020-06-22,Florida,100209,3172
2020-06-22,New York,393257,30934
2020-06-22,Texas,119646,2213
2020-06-23,Alabama,31097,864
2020-06-23,Arizona,58397,1398
2020-06-23,California,191039,5637
2020-06-23,Florida,103495,3237
2020-06-23,New York,393855,30970
2020-06-23,Texas,124726,2246
2020-06-24,Alabama,32064,891
2020-06-24,Arizona,60207,1467
2020-06-24,California,195889,5728
2020-06-24,Florida,109006,3280
2020-06-24,New York,394430,31001
2020-06-24,Texas,131310,2292
2020-06-25,Alabama,33206,896
2020-06-25,Arizona,63297,1495
2020-06-25,California,201413,5810
2020-06-25,Florida,114010,3326
2020-06-25,New York,395168,31029
2020-06-25,Texas,136783,2321
2020-06-26,Alabama,34183,907
2020-06-26,Arizona,66676,1537
2020-06-26,California,207027,5872
2020-06-26,Florida,122952,3365
2020-06-26,New York,395972,31075
2020-06-26,Texas,142582,2362
2020-06-27,Alabama,35083,919
2020-06-27,Arizona,70152,1581
2020-06-27,California,211453,5902
2020-06-27,Florida,132537,3389
2020-06-27,New York,396669,31105
2020-06-27,Texas,148639,2398
2020-06-28,Alabama,35441,919
2020-06-28,Arizona,73961,1594
2020-06-28,California,216955,5937
2020-06-28,Florida,141067,3418
2020-06-28,New York,397293,31137
2020-06-28,Texas,152866,2408
2020-06-29,Alabama,37175,929
2020-06-29,Arizona,74602,1598
2020-06-29,California,223995,5979
2020-06-29,Florida,146333,3446
2020-06-29,New York,397684,31143
2020-06-29,Texas,158756,2430
2020-06-30,Alabama,38045,950
2020-06-30,Arizona,79399,1645
2020-06-30,California,232153,6083
2020-06-30,Florida,152426,3504
2020-06-30,New York,398142,31776
2020-06-30,Texas,166703,2482
2020-07-01,Alabama,38962,972
2020-07-01,Arizona,84152,1726
2020-07-01,California,239764,6168
2020-07-01,Florida,158989,3549
2020-07-01,New York,398770,31791
2020-07-01,Texas,174826,2518
2020-07-02,Alabama,40111,985
2020-07-02,Arizona,87495,1766
2020-07-02,California,248198,6263
2020-07-02,Florida,169098,3616
2020-07-02,New York,399642,31814
2020-07-02,Texas,182260,2562
2020-07-03,Alabama,41865,1006
2020-07-03,Arizona,91894,1802
2020-07-03,California,256298,6315
2020-07-03,Florida,178586,3683
2020-07-03,New York,400561,31836
2020-07-03,Texas,190049,2609
2020-07-04,Alabama,42862,1007
2020-07-04,Arizona,94616,1821
2020-07-04,California,265176,6329
2020-07-04,Florida,190044,3701
2020-07-04,New York,401286,31860
2020-07-04,Texas,195707,2646
2020-07-05,Alabama,43953,1007
2020-07-05,Arizona,98126,1829
2020-07-05,California,271587,6369
2020-07-05,Florida,200103,3730
2020-07-05,New York,401822,31895
2020-07-05,Texas,200137,2666
2020-07-06,Alabama,44878,1007
2020-07-06,Arizona,101542,1832
2020-07-06,California,277869,6452
2020-07-06,Florida,206439,3777
2020-07-06,New York,402338,31911
2020-07-06,Texas,209350,2726
2020-07-07,Alabama,45785,1033
2020-07-07,Arizona,105159,1933
2020-07-07,California,287766,6563
2020-07-07,Florida,213786,3840
2020-07-07,New York,402928,31934
2020-07-07,Texas,219164,2816
2020-07-08,Alabama,46962,1058
2020-07-08,Arizona,108710,1973
2020-07-08,California,296304,6708
2020-07-08,Florida,223775,3888
2020-07-08,New York,403619,31945
2020-07-08,Texas,229116,2935
2020-07-09,Alabama,49174,1068
2020-07-09,Arizona,112783,2047
2020-07-09,California,303516,6825
2020-07-09,Florida,232710,4008
2020-07-09,New York,404207,31979
2020-07-09,Texas,240025,3037
2020-07-10,Alabama,50508,1104
2020-07-10,Arizona,116947,2093
2020-07-10,California,311505,6936
2020-07-10,Florida,244143,4101
2020-07-10,New York,404997,32004
2020-07-10,Texas,249948,3129
2020-07-11,Alabama,51947,1114
2020-07-11,Arizona,119991,2158
2020-07-11,California,320030,7012
2020-07-11,Florida,254503,4196
2020-07-11,New York,405724,32019
2020-07-11,Texas,258280,3206
2020-07-12,Alabama,53587,1121
2020-07-12,Arizona,122479,2239
2020-07-12,California,327676,7042
2020-07-12,Florida,269803,4241
2020-07-12,New York,406403,32029
2020-07-12,Texas,264811,3246
2020-07-13,Alabama,55545,1124
2020-07-13,Arizona,123917,2250
2020-07-13,California,336206,7086
2020-07-13,Florida,282427,4276
2020-07-13,New York,406962,32075
2020-07-13,Texas,273732,3313
2020-07-14,Alabama,57255,1164
2020-07-14,Arizona,128126,2341
2020-07-14,California,346593,7227
2020-07-14,Florida,291621,4408
2020-07-14,New York,407875,32092
2020-07-14,Texas,284638,3449
2020-07-15,Alabama,59067,1211
2020-07-15,Arizona,131411,2442
2020-07-15,California,355497,7368
2020-07-15,Florida,301802,4520
2020-07-15,New York,408709,32115
2020-07-15,Texas,296478,3590
2020-07-16,Alabama,61088,1230
2020-07-16,Arizona,134730,2506
2020-07-16,California,364761,7490
2020-07-16,Florida,315767,4676
2020-07-16,New York,409476,32133
2020-07-16,Texas,311516,3744
2020-07-17,Alabama,63091,1265
2020-07-17,Arizona,138575,2597
2020-07-17,California,374922,7607
2020-07-17,Florida,327233,4804
2020-07-17,New York,410254,32147
2020-07-17,Texas,321254,3889
2020-07-18,Alabama,65234,1286
2020-07-18,Arizona,141333,2733
2020-07-18,California,383194,7697
2020-07-18,Florida,337561,4894
2020-07-18,New York,411006,32167
2020-07-18,Texas,330059,3972
2020-07-19,Alabama,67011,1287
2020-07-19,Arizona,143644,2768
2020-07-19,California,391460,7710
2020-07-19,Florida,350039,4981
2020-07-19,New York,411515,32187
2020-07-19,Texas,338036,4033
2020-07-20,Alabama,68891,1291
2020-07-20,Arizona,145320,2795
2020-07-20,California,400195,7764
2020-07-20,Florida,360386,5071
2020-07-20,New York,412034,32203
2020-07-20,Texas,345672,4160
2020-07-21,Alabama,70358,1303
2020-07-21,Arizona,148730,2918
2020-07-21,California,410366,7883
2020-07-21,Florida,369826,5205
2020-07-21,New York,412889,32218
2020-07-21,Texas,355594,4319
2020-07-22,Alabama,71813,1364
2020-07-22,Arizona,150659,2976
2020-07-22,California,422528,8038
2020-07-22,Florida,379611,5344
2020-07-22,New York,413595,32228
2020-07-22,Texas,366561,4522
2020-07-23,Alabama,74212,1397
2020-07-23,Arizona,153029,3067
2020-07-23,California,433175,8190
2020-07-23,Florida,389860,5517
2020-07-23,New York,414405,32270
2020-07-23,Texas,376104,4714
2020-07-24,Alabama,76005,1438
2020-07-24,Arizona,156392,3156
2020-07-24,California,443096,8325
2020-07-24,Florida,402304,5652
2020-07-24,New York,415163,32278
2020-07-24,Texas,383662,4876
2020-07-25,Alabama,78130,1456
2020-07-25,Arizona,160055,3288
2020-07-25,California,453327,8428
